order_id,timestamp,user_id,domain,item_id,correct,p_correct_sim,L1,L2,L3,tier,question_text,L2_tier
21,2026-01-13T06:02:55.882832+00:00,u001,基本的なファイル管理,3,1,0.8007831737171579,Linuxファイル操作,基本的なファイル管理,pwd,1,現在の作業ディレクトリの絶対パスを表示するコマンドを一つ書いてください,基本的なファイル管理:t1
22,2026-01-13T06:03:22.882832+00:00,u001,基本的なファイル管理,11,1,0.7794131252734596,Linuxファイル操作,基本的なファイル管理,ワイルドカード,1,file01.txt や file02.txt など2桁の番号付きファイルにマッチし fileA.txt にはマッチしないパターンはどれですか？,基本的なファイル管理:t1
23,2026-01-13T06:04:01.882832+00:00,u001,所有者とパーミッション,28,1,0.3160770870412666,Linuxファイル操作,所有者とパーミッション,スティッキービット,3,スティッキービットが設定された共有ディレクトリとしてよく使われる /tmp の特徴として正しいものはどれですか？,所有者とパーミッション:t3
24,2026-01-13T06:04:23.882832+00:00,u001,所有者とパーミッション,27,0,0.28115811986780687,Linuxファイル操作,所有者とパーミッション,SGID,3,ディレクトリに SGID ビットが設定されているときの効果として最も適切なものはどれですか？,所有者とパーミッション:t3
25,2026-01-13T06:04:54.882832+00:00,u001,基本的なファイル管理,4,1,0.7687173666093482,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
26,2026-01-13T06:05:28.882832+00:00,u001,基本的なファイル管理,12,1,0.7963856298158599,Linuxファイル操作,基本的なファイル管理,ブレース展開,2,echo {A、B、C}.txt の出力として最も適切なものはどれですか？,基本的なファイル管理:t2
27,2026-01-13T06:05:55.882832+00:00,u001,所有者とパーミッション,24,1,0.43735945939451626,Linuxファイル操作,所有者とパーミッション,umask,2,umask 022 の意味として最も適切な説明はどれですか？,所有者とパーミッション:t2
28,2026-01-13T06:06:31.882832+00:00,u001,所有者とパーミッション,26,0,0.4864329646094127,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
29,2026-01-13T06:06:54.882832+00:00,u001,基本的なファイル管理,11,0,0.7794131252734596,Linuxファイル操作,基本的なファイル管理,ワイルドカード,1,file01.txt や file02.txt など2桁の番号付きファイルにマッチし fileA.txt にはマッチしないパターンはどれですか？,基本的なファイル管理:t1
30,2026-01-13T06:07:29.882832+00:00,u001,所有者とパーミッション,26,1,0.4864329646094127,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
31,2026-01-13T06:07:56.882832+00:00,u001,所有者とパーミッション,24,1,0.43735945939451626,Linuxファイル操作,所有者とパーミッション,umask,2,umask 022 の意味として最も適切な説明はどれですか？,所有者とパーミッション:t2
32,2026-01-13T06:08:26.882832+00:00,u001,所有者とパーミッション,25,1,0.5054779822489999,Linuxファイル操作,所有者とパーミッション,umask,3,umask が 022 の環境で新しい通常ファイルを作成したときのデフォルトパーミッションを数字3桁で答えてください,所有者とパーミッション:t3
33,2026-01-13T06:08:57.882832+00:00,u001,所有者とパーミッション,30,0,0.30211722939154334,Linuxファイル操作,所有者とパーミッション,ls,2,/tmp ディレクトリ自体の情報だけを表示しその中身は一覧しないように ls で表示したいときのコマンドを一つ書いてください,所有者とパーミッション:t2
34,2026-01-13T06:09:30.882832+00:00,u001,基本的なファイル管理,2,1,0.9601371645727259,Linuxファイル操作,基本的なファイル管理,ls,1,ファイルの詳細情報付き一覧を表示する ls のオプションとして正しいものはどれですか？,基本的なファイル管理:t1
35,2026-01-13T06:09:55.882832+00:00,u001,基本的なファイル管理,15,1,0.8421267788704343,Linuxファイル操作,基本的なファイル管理,tar,2,gzip 圧縮されたアーカイブ backup.tar.gz を展開する tar のコマンドを一つ書いてください,基本的なファイル管理:t2
36,2026-01-13T06:10:27.882832+00:00,u001,所有者とパーミッション,20,0,0.41180971941557887,Linuxファイル操作,所有者とパーミッション,chmod,2,ファイル script.sh に所有者だけ実行権限を追加する chmod の指定を一つ書いてください,所有者とパーミッション:t2
37,2026-01-13T06:10:59.882832+00:00,u001,所有者とパーミッション,27,0,0.28115811986780687,Linuxファイル操作,所有者とパーミッション,SGID,3,ディレクトリに SGID ビットが設定されているときの効果として最も適切なものはどれですか？,所有者とパーミッション:t3
38,2026-01-13T06:11:26.882832+00:00,u001,基本的なファイル管理,10,1,0.952333730827967,Linuxファイル操作,基本的なファイル管理,mv,1,ディレクトリ A の中の file.txt をディレクトリ B に移動するコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
39,2026-01-13T06:11:53.882832+00:00,u001,所有者とパーミッション,30,1,0.30211722939154334,Linuxファイル操作,所有者とパーミッション,ls,2,/tmp ディレクトリ自体の情報だけを表示しその中身は一覧しないように ls で表示したいときのコマンドを一つ書いてください,所有者とパーミッション:t2
40,2026-01-13T06:12:23.882832+00:00,u001,所有者とパーミッション,19,0,0.21672317703175042,Linuxファイル操作,所有者とパーミッション,chmod,1,所有者に読み書きグループとその他に読み取りのみを許可するパーミッションを数字3桁で表したものとして正しいのはどれですか？,所有者とパーミッション:t1
41,2026-01-13T06:12:53.882832+00:00,u002,所有者とパーミッション,22,1,0.3327537140536254,Linuxファイル操作,所有者とパーミッション,chgrp,1,ファイル data.txt の所有グループを group1 に変更するコマンドを一つ書いてください,所有者とパーミッション:t1
42,2026-01-13T06:13:26.882832+00:00,u002,所有者とパーミッション,20,0,0.2096957650272639,Linuxファイル操作,所有者とパーミッション,chmod,2,ファイル script.sh に所有者だけ実行権限を追加する chmod の指定を一つ書いてください,所有者とパーミッション:t2
43,2026-01-13T06:13:58.882832+00:00,u002,基本的なファイル管理,8,0,0.4816164877192652,Linuxファイル操作,基本的なファイル管理,cp,1,ファイル file1 をディレクトリ dir にコピーするコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
44,2026-01-13T06:14:31.882832+00:00,u002,基本的なファイル管理,4,0,0.2090974220366078,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
45,2026-01-13T06:15:01.882832+00:00,u002,所有者とパーミッション,25,1,0.27921509581704435,Linuxファイル操作,所有者とパーミッション,umask,3,umask が 022 の環境で新しい通常ファイルを作成したときのデフォルトパーミッションを数字3桁で答えてください,所有者とパーミッション:t3
46,2026-01-13T06:15:27.882832+00:00,u002,基本的なファイル管理,13,0,0.38797303535538896,Linuxファイル操作,基本的なファイル管理,touch,1,ファイルのタイムスタンプを更新したり存在しない場合は空のファイルを作成したりするコマンド名を一つ書いてください,基本的なファイル管理:t1
47,2026-01-13T06:15:52.882832+00:00,u002,基本的なファイル管理,17,0,0.31895885984702815,Linuxファイル操作,基本的なファイル管理,file,2,指定したファイルの種類を判定して表示するコマンド名を一つ書いてください,基本的なファイル管理:t2
48,2026-01-13T06:16:23.882832+00:00,u002,所有者とパーミッション,20,0,0.2096957650272639,Linuxファイル操作,所有者とパーミッション,chmod,2,ファイル script.sh に所有者だけ実行権限を追加する chmod の指定を一つ書いてください,所有者とパーミッション:t2
49,2026-01-13T06:16:53.882832+00:00,u002,基本的なファイル管理,15,0,0.2978997571486968,Linuxファイル操作,基本的なファイル管理,tar,2,gzip 圧縮されたアーカイブ backup.tar.gz を展開する tar のコマンドを一つ書いてください,基本的なファイル管理:t2
50,2026-01-13T06:17:28.882832+00:00,u002,基本的なファイル管理,4,0,0.2090974220366078,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
51,2026-01-13T06:17:58.882832+00:00,u002,所有者とパーミッション,26,1,0.2641415589597219,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
52,2026-01-13T06:18:24.882832+00:00,u002,所有者とパーミッション,19,1,0.09490732532290862,Linuxファイル操作,所有者とパーミッション,chmod,1,所有者に読み書きグループとその他に読み取りのみを許可するパーミッションを数字3桁で表したものとして正しいのはどれですか？,所有者とパーミッション:t1
53,2026-01-13T06:18:55.882832+00:00,u002,基本的なファイル管理,4,0,0.2090974220366078,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
54,2026-01-13T06:19:30.882832+00:00,u002,所有者とパーミッション,26,0,0.2641415589597219,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
55,2026-01-13T06:19:58.882832+00:00,u002,基本的なファイル管理,1,1,0.3330268033463706,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,基本的なファイル管理:t1
56,2026-01-13T06:20:24.882832+00:00,u002,所有者とパーミッション,27,0,0.1290937633172015,Linuxファイル操作,所有者とパーミッション,SGID,3,ディレクトリに SGID ビットが設定されているときの効果として最も適切なものはどれですか？,所有者とパーミッション:t3
57,2026-01-13T06:20:54.882832+00:00,u002,基本的なファイル管理,12,1,0.2372887548380508,Linuxファイル操作,基本的なファイル管理,ブレース展開,2,echo {A、B、C}.txt の出力として最も適切なものはどれですか？,基本的なファイル管理:t2
58,2026-01-13T06:21:31.882832+00:00,u002,基本的なファイル管理,17,0,0.31895885984702815,Linuxファイル操作,基本的なファイル管理,file,2,指定したファイルの種類を判定して表示するコマンド名を一つ書いてください,基本的なファイル管理:t2
59,2026-01-13T06:21:54.882832+00:00,u002,基本的なファイル管理,12,0,0.2372887548380508,Linuxファイル操作,基本的なファイル管理,ブレース展開,2,echo {A、B、C}.txt の出力として最も適切なものはどれですか？,基本的なファイル管理:t2
60,2026-01-13T06:22:27.882832+00:00,u002,所有者とパーミッション,22,1,0.3327537140536254,Linuxファイル操作,所有者とパーミッション,chgrp,1,ファイル data.txt の所有グループを group1 に変更するコマンドを一つ書いてください,所有者とパーミッション:t1
61,2026-01-13T06:22:56.882832+00:00,u002,基本的なファイル管理,7,0,0.37340185799746684,Linuxファイル操作,基本的なファイル管理,rm,2,rm コマンドで削除前に確認しながら対話的に削除したいときに付けるオプションはどれですか？,基本的なファイル管理:t2
62,2026-01-13T06:23:22.882832+00:00,u002,基本的なファイル管理,4,0,0.2090974220366078,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
63,2026-01-13T06:24:01.882832+00:00,u002,基本的なファイル管理,1,0,0.3330268033463706,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,基本的なファイル管理:t1
64,2026-01-13T06:24:23.882832+00:00,u002,基本的なファイル管理,4,0,0.2090974220366078,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
65,2026-01-13T06:24:55.882832+00:00,u002,所有者とパーミッション,22,1,0.3327537140536254,Linuxファイル操作,所有者とパーミッション,chgrp,1,ファイル data.txt の所有グループを group1 に変更するコマンドを一つ書いてください,所有者とパーミッション:t1
66,2026-01-13T06:25:30.882832+00:00,u002,所有者とパーミッション,19,0,0.09490732532290862,Linuxファイル操作,所有者とパーミッション,chmod,1,所有者に読み書きグループとその他に読み取りのみを許可するパーミッションを数字3桁で表したものとして正しいのはどれですか？,所有者とパーミッション:t1
67,2026-01-13T06:25:55.882832+00:00,u002,基本的なファイル管理,4,0,0.2090974220366078,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
68,2026-01-13T06:26:27.882832+00:00,u002,所有者とパーミッション,30,0,0.14093967911802457,Linuxファイル操作,所有者とパーミッション,ls,2,/tmp ディレクトリ自体の情報だけを表示しその中身は一覧しないように ls で表示したいときのコマンドを一つ書いてください,所有者とパーミッション:t2
69,2026-01-13T06:26:54.882832+00:00,u002,所有者とパーミッション,19,0,0.09490732532290862,Linuxファイル操作,所有者とパーミッション,chmod,1,所有者に読み書きグループとその他に読み取りのみを許可するパーミッションを数字3桁で表したものとして正しいのはどれですか？,所有者とパーミッション:t1
70,2026-01-13T06:27:28.882832+00:00,u002,基本的なファイル管理,9,1,0.40781422724575883,Linuxファイル操作,基本的なファイル管理,cp,2,ディレクトリ A をタイムスタンプと権限を保ったままディレクトリ B にコピーしたいときに最も適切なコマンドはどれですか？,基本的なファイル管理:t2
71,2026-01-13T06:27:59.882832+00:00,u002,基本的なファイル管理,17,0,0.31895885984702815,Linuxファイル操作,基本的なファイル管理,file,2,指定したファイルの種類を判定して表示するコマンド名を一つ書いてください,基本的なファイル管理:t2
72,2026-01-13T06:28:23.882832+00:00,u002,所有者とパーミッション,28,0,0.1490425601152586,Linuxファイル操作,所有者とパーミッション,スティッキービット,3,スティッキービットが設定された共有ディレクトリとしてよく使われる /tmp の特徴として正しいものはどれですか？,所有者とパーミッション:t3
73,2026-01-13T06:29:00.882832+00:00,u002,基本的なファイル管理,12,0,0.2372887548380508,Linuxファイル操作,基本的なファイル管理,ブレース展開,2,echo {A、B、C}.txt の出力として最も適切なものはどれですか？,基本的なファイル管理:t2
74,2026-01-13T06:29:23.882832+00:00,u002,基本的なファイル管理,10,0,0.6137811193592356,Linuxファイル操作,基本的なファイル管理,mv,1,ディレクトリ A の中の file.txt をディレクトリ B に移動するコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
75,2026-01-13T06:29:53.882832+00:00,u002,基本的なファイル管理,5,1,0.8265291175097286,Linuxファイル操作,基本的なファイル管理,mkdir,1,dir1 とその中の dir2 を一度に作成したいときに最も適切なコマンドはどれですか？,基本的なファイル管理:t1
76,2026-01-13T06:30:28.882832+00:00,u002,基本的なファイル管理,6,0,0.7134848325645871,Linuxファイル操作,基本的なファイル管理,rm,2,ディレクトリ A を中身ごと確認無しに削除したいときに最も適切なコマンドはどれですか？,基本的なファイル管理:t2
77,2026-01-13T06:30:56.882832+00:00,u002,所有者とパーミッション,30,0,0.14093967911802457,Linuxファイル操作,所有者とパーミッション,ls,2,/tmp ディレクトリ自体の情報だけを表示しその中身は一覧しないように ls で表示したいときのコマンドを一つ書いてください,所有者とパーミッション:t2
78,2026-01-13T06:31:27.882832+00:00,u002,基本的なファイル管理,17,0,0.31895885984702815,Linuxファイル操作,基本的なファイル管理,file,2,指定したファイルの種類を判定して表示するコマンド名を一つ書いてください,基本的なファイル管理:t2
79,2026-01-13T06:31:59.882832+00:00,u002,所有者とパーミッション,26,1,0.2641415589597219,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
80,2026-01-13T06:32:31.882832+00:00,u002,基本的なファイル管理,7,0,0.37340185799746684,Linuxファイル操作,基本的なファイル管理,rm,2,rm コマンドで削除前に確認しながら対話的に削除したいときに付けるオプションはどれですか？,基本的なファイル管理:t2
81,2026-01-13T06:33:00.882832+00:00,u003,基本的なファイル管理,16,0,0.5015122734697117,Linuxファイル操作,基本的なファイル管理,dd,2,1MB のゼロデータを10個連結したファイル zero.img を作成したいときに最も適切なコマンドはどれですか？,基本的なファイル管理:t2
82,2026-01-13T06:33:23.882832+00:00,u003,基本的なファイル管理,1,0,0.23903808310882035,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,基本的なファイル管理:t1
83,2026-01-13T06:33:55.882832+00:00,u003,基本的なファイル管理,8,1,0.3688855577558386,Linuxファイル操作,基本的なファイル管理,cp,1,ファイル file1 をディレクトリ dir にコピーするコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
84,2026-01-13T06:34:28.882832+00:00,u003,所有者とパーミッション,29,0,0.33178651559414746,Linuxファイル操作,所有者とパーミッション,パーミッション表記,2,パーミッション文字列 rwxr-xr-x を数字3桁で表したものを答えてください,所有者とパーミッション:t2
85,2026-01-13T06:34:53.882832+00:00,u003,所有者とパーミッション,22,1,0.5971360783565489,Linuxファイル操作,所有者とパーミッション,chgrp,1,ファイル data.txt の所有グループを group1 に変更するコマンドを一つ書いてください,所有者とパーミッション:t1
86,2026-01-13T06:35:26.882832+00:00,u003,基本的なファイル管理,13,0,0.2851058350869483,Linuxファイル操作,基本的なファイル管理,touch,1,ファイルのタイムスタンプを更新したり存在しない場合は空のファイルを作成したりするコマンド名を一つ書いてください,基本的なファイル管理:t1
87,2026-01-13T06:35:57.882832+00:00,u003,所有者とパーミッション,18,1,0.6618387826313321,Linuxファイル操作,所有者とパーミッション,基本パーミッション,1,ls -l の出力に含まれる r や w や x などの文字は何を表していますか？,所有者とパーミッション:t1
88,2026-01-13T06:36:24.882832+00:00,u003,基本的なファイル管理,7,0,0.2726767961666255,Linuxファイル操作,基本的なファイル管理,rm,2,rm コマンドで削除前に確認しながら対話的に削除したいときに付けるオプションはどれですか？,基本的なファイル管理:t2
89,2026-01-13T06:37:00.882832+00:00,u003,所有者とパーミッション,25,1,0.5351778993449159,Linuxファイル操作,所有者とパーミッション,umask,3,umask が 022 の環境で新しい通常ファイルを作成したときのデフォルトパーミッションを数字3桁で答えてください,所有者とパーミッション:t3
90,2026-01-13T06:37:27.882832+00:00,u003,基本的なファイル管理,1,1,0.23903808310882035,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,基本的なファイル管理:t1
91,2026-01-13T06:38:01.882832+00:00,u003,基本的なファイル管理,4,0,0.1426064776413681,Linuxファイル操作,基本的なファイル管理,cd,1,ホームディレクトリに移動するコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t1
92,2026-01-13T06:38:31.882832+00:00,u003,基本的なファイル管理,12,0,0.1636885867775152,Linuxファイル操作,基本的なファイル管理,ブレース展開,2,echo {A、B、C}.txt の出力として最も適切なものはどれですか？,基本的なファイル管理:t2
93,2026-01-13T06:38:56.882832+00:00,u003,基本的なファイル管理,14,0,0.12126719325698918,Linuxファイル操作,基本的なファイル管理,tar,2,ディレクトリ dir1 を archive.tar という名前のアーカイブにまとめるコマンドとして最も適切なものはどれですか？,基本的なファイル管理:t2
94,2026-01-13T06:39:22.882832+00:00,u003,基本的なファイル管理,15,1,0.21069309226656402,Linuxファイル操作,基本的なファイル管理,tar,2,gzip 圧縮されたアーカイブ backup.tar.gz を展開する tar のコマンドを一つ書いてください,基本的なファイル管理:t2
95,2026-01-13T06:39:56.882832+00:00,u003,基本的なファイル管理,15,1,0.21069309226656402,Linuxファイル操作,基本的なファイル管理,tar,2,gzip 圧縮されたアーカイブ backup.tar.gz を展開する tar のコマンドを一つ書いてください,基本的なファイル管理:t2
96,2026-01-13T06:40:28.882832+00:00,u003,所有者とパーミッション,27,0,0.3058289275056682,Linuxファイル操作,所有者とパーミッション,SGID,3,ディレクトリに SGID ビットが設定されているときの効果として最も適切なものはどれですか？,所有者とパーミッション:t3
97,2026-01-13T06:40:59.882832+00:00,u003,所有者とパーミッション,18,1,0.6618387826313321,Linuxファイル操作,所有者とパーミッション,基本パーミッション,1,ls -l の出力に含まれる r や w や x などの文字は何を表していますか？,所有者とパーミッション:t1
98,2026-01-13T06:41:30.882832+00:00,u003,所有者とパーミッション,20,1,0.4409130168788644,Linuxファイル操作,所有者とパーミッション,chmod,2,ファイル script.sh に所有者だけ実行権限を追加する chmod の指定を一つ書いてください,所有者とパーミッション:t2
99,2026-01-13T06:41:54.882832+00:00,u003,基本的なファイル管理,1,1,0.23903808310882035,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,基本的なファイル管理:t1
100,2026-01-13T06:42:27.882832+00:00,u003,基本的なファイル管理,10,1,0.49995014425385514,Linuxファイル操作,基本的なファイル管理,mv,1,ディレクトリ A の中の file.txt をディレクトリ B に移動するコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
101,2026-01-13T06:43:01.882832+00:00,u003,基本的なファイル管理,7,0,0.2726767961666255,Linuxファイル操作,基本的なファイル管理,rm,2,rm コマンドで削除前に確認しながら対話的に削除したいときに付けるオプションはどれですか？,基本的なファイル管理:t2
102,2026-01-13T06:43:23.882832+00:00,u003,所有者とパーミッション,26,0,0.5161818939633035,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,所有者とパーミッション:t3
103,2026-01-13T06:43:58.882832+00:00,u003,基本的なファイル管理,8,0,0.3688855577558386,Linuxファイル操作,基本的なファイル管理,cp,1,ファイル file1 をディレクトリ dir にコピーするコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
104,2026-01-13T06:44:30.882832+00:00,u003,基本的なファイル管理,10,0,0.49995014425385514,Linuxファイル操作,基本的なファイル管理,mv,1,ディレクトリ A の中の file.txt をディレクトリ B に移動するコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
105,2026-01-13T06:44:57.882832+00:00,u003,基本的なファイル管理,1,0,0.23903808310882035,Linuxファイル操作,基本的なファイル管理,ls,1,隠しファイルも含めてカレントディレクトリの内容を一覧表示するコマンドはどれですか？,基本的なファイル管理:t1
106,2026-01-13T06:45:28.882832+00:00,u003,所有者とパーミッション,21,0,0.47439217594125294,Linuxファイル操作,所有者とパーミッション,chown,1,ファイル data.txt の所有者を user1 に変更するコマンドとして正しいものはどれですか？,所有者とパーミッション:t1
107,2026-01-13T06:45:55.882832+00:00,u003,所有者とパーミッション,22,1,0.5971360783565489,Linuxファイル操作,所有者とパーミッション,chgrp,1,ファイル data.txt の所有グループを group1 に変更するコマンドを一つ書いてください,所有者とパーミッション:t1
108,2026-01-13T06:46:30.882832+00:00,u003,所有者とパーミッション,21,1,0.47439217594125294,Linuxファイル操作,所有者とパーミッション,chown,1,ファイル data.txt の所有者を user1 に変更するコマンドとして正しいものはどれですか？,所有者とパーミッション:t1
109,2026-01-13T06:46:54.882832+00:00,u003,所有者とパーミッション,25,0,0.5351778993449159,Linuxファイル操作,所有者とパーミッション,umask,3,umask が 022 の環境で新しい通常ファイルを作成したときのデフォルトパーミッションを数字3桁で答えてください,所有者とパーミッション:t3
110,2026-01-13T06:47:23.882832+00:00,u003,基本的なファイル管理,8,0,0.3688855577558386,Linuxファイル操作,基本的なファイル管理,cp,1,ファイル file1 をディレクトリ dir にコピーするコマンドとして正しいものはどれですか？,基本的なファイル管理:t1
